track_id,name,duration_ms,artist_id,artist_name,num_artists,album_id,album_name
7aLUT8YPqXMZl1JUJh2ffv,First of May,173253,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
2smAMdY3pGZPVw0aWAfEzD,I Will,163400,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
62ef7BBjl7eRL2eUwZJP9i,No More Lonely Nights,220986,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
4UbeLhCrFKH3Krh0o4sH8W,What's Forever For,228800,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
6bwkFs7t6ExPs5a2ER2L3i,Make You Happy,248013,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
5yXbkIQZOiFp0k4STiYv9x,More Than You'll Ever Know,202053,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
1vjdKdp3P8QKfbrb0eUljJ,The One You Love,276893,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
4y8KJSy4R3dIwVWHHMt1lf,Dreaming of You,246573,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2A48roBpFpFjatWtksmsQE,Heartstrings
266fCHji9DlHmj4MEH24Xg,Sasayaw Ako,279933,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
2GAsZsm7fNhBy0Q7aYTXuQ,What Is This I'm Feeling For You,238973,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
4hTnrPQ0EsUed8vXq4tkan,In Love Ako Sa 'Yo,220866,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
2WAwxaI7lyIfy7eS1lus3Y,Be My Lady,233640,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
3RYkG7WmnRK6HSejhCo7jw,Ikaw Lang Para Sa Akin,259746,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
0PhKUUh0XzAHev6opemDtH,'Di Na Mapigilan,263186,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
4wt6antGdiSjTZWoyLVibi,Sweetest Sugar,225120,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
4KJVryttL1duMPn0gqWVM7,Tunay Na Tunay,294906,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
58bROXWH764oojk4JBuXTh,You're My You,276853,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
1LsiUfQrvGHewEnzyipf6j,Love At First Sight,218720,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
2eBPqjjEk3OXdObmcICE2l,May Aasahan Ba,267506,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,4EQ7a4ztLVN5OUgxJJVIxY,Nyoy Volante
6gsF0KXACH5HK8QvtRcaMn,Huling Sayaw,274812,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,6Mo7cq7JRqSBZVDqXvwSel,Huling Sayaw
6SAdNS3NzG8PGHnRAIT6sg,I Wanna Kiss You,164400,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,53Vzv0bR02zAV9S2bsCyFc,I Wanna Kiss You
0zTSxmqujphGqVNdd33Mq5,Awit Ko Na Naisulat Dahil Sa Kagandahan Mo - Minus One,237600,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,0lPcGBzpPjoMAS62iExieD,Awit Ko Na Naisulat Dahil Sa Kagandahan Mo (Minus One)
3V8UIN1Xli8KmgyevIle2Y,Awit Ko Na Naisulat Dahil Sa Kagandahan Mo,236419,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,5S0ZDnuNJpjlN9YiHYpsCW,Awit Ko Na Naisulat Dahil Sa Kagandahan Mo
79cNKZg5oo2FHmnj99K8rQ,Pieces of My Life,291830,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,2Gxsv9XrzRkrjexEWWaxaH,Pieces of My Life
6m9YKCOZpdkLzPqUwCM9ha,Chosen,313541,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,6wh0T0S950yhOVVT6kJjm2,Chosen
102D0kplUrZY83Bx1J0DnG,God Gave Me You,267560,"['3pTaNQJ7TAU4yL7KEZp5sF', '5xJfSowQoxaxY4DCVLTfr5']","['Nyoy Volante', 'Sabrina']",2,40nVV6Eltyi1Hs6UjYW4RL,God Gave Me You
