date,position,track_id,track_name,artist,streams,Filipino
1/1/2017,110,39V6cEoNFwDFRJEOKyj4OR,Let Me Be the One,Julie Anne San Jose,17012,filipino
1/1/2017,73,2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,Juris,24585,filipino
12/16/2018,197,0aEX0skifH9CAc8HXxShqk,Maikee's Letters,Just Hush,20217,filipino
8/24/2019,182,0airDlKC7gQNcooMHyIydT,Fly You to the Moon,Justin Vasquez,23447,filipino
2/15/2017,181,0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,Kaye Cal,16793,filipino
9/9/2018,183,06cUybZMETs4i3yQO1f7p3,Weak,Khel Pangilinan,21183,filipino
2/12/2017,145,60LTEqwQF7J0mO093FPRdc,Does She Know,Kiana V,19132,filipino
2/21/2017,197,1FHCU1rDAeaPsBW9byjJ0Q,12:51,krissy & ericka,15970,filipino
6/19/2020,183,6r7sdXUiKjgEx3I8GQRpSq,Chinita Girl,Lil Vinceyy,25390,filipino
11/23/2019,147,5jLUKFlEJzOf6b6PCaohFI,I Want You Back,Matthaios,28990,filipino
3/5/2020,171,1x8pFCRfBnDqckyB6mlZci,Titig,MC Einstein,32149,filipino
7/8/2020,146,3CsC4l3gWDE5bgtcU57v8F,Pac-Man,Michael Bars,28592,filipino
10/9/2018,195,32FQqB67FkHkFSeXnuSYV0,"All Tonight - From ""Exes Baggage""",Midnight Meetings,22609,filipino
1/1/2017,99,6C2nrsOlb3jOUGcJAmPrTA,Tell Me Where It Hurts,MYMP,18925,filipino
12/24/2018,83,6r5vsI0vAYxFXuL6wooznb,Last Christmas,Nef Medina,49867,filipino
1/1/2017,96,1MkiRsYBkXbXvdiYvTTiQT,Someday,Nina,18997,filipino
7/27/2019,191,6jZBYN0CFwshqb6i3m4HOL,Rawstarr 'Til I Die,Psychedelic Boyz,23819,filipino
8/2/2019,174,6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,Skusta Clee,26536,filipino
1/17/2020,199,5bSvsXRBUjGe8pGScU0hPz,Ivana,Soulstice,25915,filipino
5/8/2020,187,6WtBVDL02RRvWlvzF4sjE9,Cutie Uyyy,Soulthrll,22646,filipino
1/1/2017,103,3VcVQmMivq2ISfKUmIuvMK,Rainbow,South Border,17547,filipino
12/24/2018,135,78ylzQxu8Ht3gbFq5hI9Vo,Have Yourself a Merry Little Christmas,Tres Hermanas,32118,filipino
5/22/2019,123,46n2EGFnPC3tzWCN1Aqe26,This I Promise You,*NSYNC,31018,not
10/30/2020,1,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,301973,not
9/19/2018,200,35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,Backstreet Boys,21014,not
1/12/2020,198,2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,21822,not
6/26/2020,1,6y6k14YN6MbKpGIv1Rk00Q,How You Like That,BLACKPINK,401201,not
1/1/2017,51,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,39029,not
4/12/2019,4,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,214510,not
8/8/2020,94,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,34418,not
7/3/2020,157,1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,Chris Brown,26990,not
10/4/2019,68,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,49480,not
4/28/2017,94,3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,29237,not
8/30/2020,191,2vvN4MMtdLNQSgYsbLYmp3,Senorita,DJ Noiz,23446,not
4/3/2020,53,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Drake,49797,not
3/19/2020,194,5Mw9bXG1dLNhbjofkVS2oR,Oceans (Where Feet May Fail),Hillsong UNITED,22320,not
10/2/2020,19,4TgxFMOn5yoESW6zCidCXL,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,137414,not
1/1/2017,182,7vFv0yFGMJW3qVXbAd9BK9,Your Body Is a Wonderland,John Mayer,11564,not
1/3/2020,18,41L3O37CECZt3N7ziG2z7l,Yummy,Justin Bieber,138369,not
3/22/2020,175,6SFeCisbYSqaQwL9hucoF2,You Decorated My Life,Kenny Rogers,21179,not
