track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_country_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_rnb_prob,predicted_rock_prob
1EVVa8EtTKVMsCw35uJP0j,Change (feat. James Taylor),6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,51qJaDNYXndzT3HqRL4F3L,217560,2018-03-13,0,0.502,0.413,4,0.6909723643807573,1,0.039,0.872,0.0,0.213,0.474,0.7936205649950936,4,pop,0.375,0.041666666666666664,0.08333333333333333,0.0,0.25,0.375,0.041666666666666664,0.125,0.08333333333333333
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,7fJJK56U9fHixgO0HQkhtI,221820,2020-03-27,87,0.73,0.729,4,0.8522415557830091,0,0.0883,0.167,1.39e-06,0.349,0.467,0.3901835975830192,2,electronic,0.375,0.0,0.08333333333333333,0.375,0.041666666666666664,0.25,0.16666666666666666,0.08333333333333333,0.0
5RqR4ZCCKJDcBLIn4sih9l,Party Girl,1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,4NPX54YtocHqTOq6yXDEFM,147800,2020-04-21,88,0.728,0.431,6,0.5848106448311157,0,0.0622,0.749,0.0,0.0996,0.629,0.4999870887775653,3,jazz,0.375,0.0,0.16666666666666666,0.0,0.375,0.125,0.041666666666666664,0.125,0.16666666666666666
59aZ0ioyVrmtdut1KfU5aT,Amatz,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,6uydeIIBbr8sN6XdI3rpuy,234374,2019-03-22,52,0.825,0.496,1,0.6422927328556806,1,0.0503,0.00817,0.000511,0.0827,0.185,0.48684991995042076,2,electronic,0.375,0.0,0.0,0.375,0.08333333333333333,0.125,0.16666666666666666,0.20833333333333334,0.041666666666666664
7bkAr4WNoTuSjpuh1NRQjm,Ex,4HOEnLufwAqJ2qoJPVnL01,Callalily,1PfXecQJulp7zT5Ck60V0h,326909,2019-03-22,52,0.631,0.507,5,0.6705424769703172,1,0.0263,0.455,1.74e-05,0.096,0.378,0.5651048391261684,4,pop,0.375,0.0,0.16666666666666666,0.0,0.08333333333333333,0.375,0.041666666666666664,0.0,0.3333333333333333
1xy4apMFecGGkgBeaHFZ2M,Chasing Fire,5JZ7CnR6gTvEMKX4g70Amv,Lauv,5XHD9eCEJ05CuiuEQb0FsR,205267,2018-03-29,5,0.709,0.562,5,0.7936949846468782,1,0.0724,0.0449,0.0,0.217,0.386,0.4737966740691008,2,electronic,0.375,0.0,0.20833333333333334,0.375,0.0,0.16666666666666666,0.125,0.041666666666666664,0.08333333333333333
3npzogdOEiVsieXmmhBepL,The Bones,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,5QakU0QMcoxjjyCS1YW4G5,197293,2019-03-08,43,0.612,0.57,11,0.7209007164790173,0,0.0347,0.279,0.0,0.0963,0.335,0.15772349326034185,6,rnb,0.375,0.0,0.2916666666666667,0.0,0.041666666666666664,0.2916666666666667,0.0,0.375,0.0
3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,3mumK2ar9b4JPhVOZR0V2p,217288,2017-12-20,76,0.704,0.859,5,0.793162743091095,0,0.0996,0.0185,0.0,0.0215,0.926,0.3391971801890202,4,pop,0.375,0.0,0.125,0.041666666666666664,0.0,0.375,0.0,0.125,0.3333333333333333
6JqpFboOH2bq9pzaYbkKBn,R.I.P. (feat. Rita Ora & Anitta),0haZhu4fFKt0Ag94kZDiz2,Sofia Reyes,2yN1kxrx1Z1CHO5VMdO2Yk,187200,2019-03-15,72,0.764,0.752,8,0.840818833162743,0,0.0711,0.18,0.0,0.0701,0.698,0.30660279915302374,4,pop,0.375,0.0,0.25,0.0,0.041666666666666664,0.375,0.041666666666666664,0.25,0.041666666666666664
1raaNykBg1bDnWENUiglUA,Break My Heart,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,368tzVdeju4vLSY8PHnQUs,221820,2020-03-25,85,0.73,0.729,4,0.8522415557830091,0,0.0886,0.167,1.39e-06,0.349,0.467,0.3901771419718018,2,electronic,0.375,0.0,0.08333333333333333,0.375,0.041666666666666664,0.25,0.16666666666666666,0.08333333333333333,0.0
2Vsetr5viGzrHDkC222PAT,I Need You More Today,3XEHRbR9NMWfNzQ6TQMS9M,Caleb Santos,7apyuKqNCn83epyR7ImsDN,233728,2016-12-02,1,0.474,0.522,11,0.6852405322415557,1,0.0408,0.36,0.0,0.123,0.448,0.6755990807209624,7,rock,0.375,0.0,0.3333333333333333,0.041666666666666664,0.0,0.16666666666666666,0.0,0.08333333333333333,0.375
