track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability
13pv5UWJttg8NNplCaaOYh,Binibini,1SrWbIDP84JcSDr0oTBAQw,Matthaios,5vBydjf2nb8fTPij4rYb2D,137717,2020-03-18,71,0.851,0.352,0,-12.376,0,0.0749,0.737,0.0,0.121,0.536,115.028,4,0.520151674747467,R&B,52.015167474746704%
4wJ5SjIkViEQEu95U8oyLt,Mabagal,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,64cjwPaR72rW2Wzm9uWE3c,226727,2020-03-27,60,0.356,0.339,5,-10.893,0,0.0369,0.508,3.28e-06,0.355,0.287,74.975,3,0.5199580788612366,Acoustic,51.99580788612366%
07JZJ9YJRaiUAz9Bv8wgwH,Mabagal,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,662p02ErqQk9DvBL38lqH7,226727,2019-08-02,52,0.356,0.339,5,-10.893,0,0.0369,0.508,3.28e-06,0.355,0.287,74.975,3,0.5199580788612366,Acoustic,51.99580788612366%
1AI7UPw3fgwAFkvAlZWhE0,Take Me Back to London (feat. Stormzy),6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3oIFxDIo2fwuk4lwCmFZCx,189733,2019-07-12,71,0.885,0.762,8,-5.513,0,0.216,0.219,0.0,0.162,0.605,138.058,2,0.5198866724967957,Reggae,51.988667249679565%
6oJ6le65B3SEqPwMRNXWjY,Higher Love,23fqKkggKUBHNkbKtXEls4,Kygo,4wquJImu8RtyEuDtIAsfcE,228267,2019-06-28,83,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,5,0.5196184515953064,Rock,51.96184515953064%
6MMIXC8IMjrkz6TIzQ0cey,"Bata, Dahan-Dahan!",4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,66CBwdHZjwC7texRTzaE8J,249080,2018-09-14,43,0.406,0.796,6,-7.851,0,0.197,0.0612,2.7e-05,0.311,0.25,169.895,5,0.5195597410202026,Rock,51.955974102020264%
3vAn0qZzdyuHamcrpkfiX3,How You Like That,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,19LMUlWN7xU2NW80pZSeuH,181263,2020-06-26,87,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,4,0.5193913578987122,R&B,51.939135789871216%
6y6k14YN6MbKpGIv1Rk00Q,How You Like That,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,1AkGUEtocePYti6xefsECx,181263,2020-06-26,85,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,4,0.5193913578987122,R&B,51.939135789871216%
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,4IRiXE5NROxknUSAUSjMoO,157066,2019-06-21,83,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,2,0.519342839717865,Reggae,51.9342839717865%
6u7jPi22kF8CTQ3rb9DHE7,Old Town Road (feat. Billy Ray Cyrus) - Remix,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,38kpkGLuPr1nNfD3iEyOlJ,157066,2019-04-05,12,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,2,0.519342839717865,Reggae,51.9342839717865%
